Distance_to_2019,Distance_to_2024,LandCover_2019,LandCover_2024,latitude,longitude
10,41.23105626,1,1,-8.82760955,115.1070213
31.6227766,20,1,1,-8.804163521,115.1734967
50,22.36067977,1,1,-8.785748058,115.1496015
31.6227766,0,1,2,-8.846025013,115.1442116
20,14.14213562,1,1,-8.832999441,115.1782577
10,40,1,1,-8.79176677,115.1347793
10,0,1,2,-8.835335061,115.1182503
10,30,1,1,-8.845396192,115.1683763
10,20,1,1,-8.814224652,115.1353183
10,22.36067977,1,1,-8.841353774,115.1505896
42.42640687,36.05551275,1,1,-8.831831632,115.1602016
10,0,1,2,-8.783592101,115.1929901
22.36067977,10,1,1,-8.825992582,115.1639745
10,22.36067977,1,1,-8.806588972,115.1780781
44.72135955,50,1,1,-8.81647044,115.0895042
41.23105626,36.05551275,1,1,-8.824465446,115.207453
30,20,1,1,-8.81763825,115.2213769
30,10,1,1,-8.836053713,115.1979308
10,10,1,1,-8.792665085,115.2302702
10,0,1,2,-8.797156662,115.1944274
14.14213562,30,1,1,-8.790059971,115.2101479
14.14213562,0,1,2,-8.817009429,115.1964935
20,0,1,2,-8.817099261,115.114657
10,0,1,2,-8.813955157,115.1708915
14.14213562,0,1,2,-8.83704186,115.1444811
14.14213562,10,1,1,-8.831292642,115.1354081
14.14213562,10,1,1,-8.838030007,115.0913008
14.14213562,22.36067977,1,1,-8.798324471,115.1660406
20,10,1,1,-8.783592101,115.1601118
10,0,1,2,-8.827789213,115.1548117
36.05551275,14.14213562,1,1,-8.81997387,115.0994755
20,40,1,1,-8.813775494,115.2078123
50,67.08203932,1,1,-8.818356902,115.1301979
22.36067977,0,1,2,-8.797965145,115.1473557
10,0,1,2,-8.789251487,115.1590338
14.14213562,0,1,2,-8.812877179,115.1381929
40,36.05551275,1,1,-8.825723088,115.1906545
31.6227766,130.3840481,1,1,-8.821590837,115.2210175
63.2455532,254.5584412,1,1,-8.78413109,115.2187717
31.6227766,14.14213562,1,1,-8.825902751,115.1269639
31.6227766,22.36067977,1,1,-8.818536565,115.212753
10,20,1,1,-8.795000705,115.1976613
30,14.14213562,1,1,-8.828418034,115.1283114
30,14.14213562,1,1,-8.832101126,115.2071835
10,31.6227766,1,1,-8.847552149,115.1666695
70.71067812,10,1,1,-8.826980729,115.1947867
14.14213562,14.14213562,1,1,-8.825723088,115.1674779
20,0,1,2,-8.824914604,115.1878697
10,30,1,1,-8.810272065,115.1559795
28.28427125,28.28427125,1,1,-8.820333196,115.0930974
22.36067977,30,1,1,-8.817458587,115.0924686
28.28427125,28.28427125,1,1,-8.835604556,115.1770899
40,22.36067977,1,1,-8.816200946,115.1371149
14.14213562,0,1,2,-8.814494147,115.1525659
22.36067977,10,1,1,-8.817907745,115.1504099
31.6227766,22.36067977,1,1,-8.811260212,115.2185921
14.14213562,14.14213562,1,1,-8.795629526,115.139181
41.23105626,56.56854249,1,1,-8.818626397,115.1316352
31.6227766,20,1,1,-8.813326337,115.1400793
22.36067977,20,1,1,-8.831651969,115.0889652
50.99019514,167.6305461,1,1,-8.775058106,115.1916426
10,31.6227766,1,1,-8.789161656,115.2068241
22.36067977,14.14213562,1,1,-8.825902751,115.1423251
10,0,1,2,-8.821231511,115.116274
10,10,1,1,-8.820782354,115.18239
10,14.14213562,1,1,-8.782603954,115.1949664
20,30,1,1,-8.811978864,115.1965834
10,10,1,1,-8.796527841,115.170622
10,10,1,1,-8.836502871,115.1194181
10,10,1,1,-8.778651367,115.189846
10,14.14213562,1,1,-8.833718094,115.1916426
14.14213562,0,1,2,-8.840994447,115.1590338
10,10,1,1,-8.839467312,115.0937263
20,41.23105626,1,1,-8.838479165,115.1059433
10,0,1,2,-8.815033136,115.1153757
30,10,1,1,-8.806229646,115.132264
30,10,1,1,-8.830035001,115.147715
10,0,1,2,-8.823297636,115.1527456
14.14213562,0,1,2,-8.840365627,115.1602914
22.36067977,10,1,1,-8.817548419,115.2035004
10,20,1,1,-8.810361896,115.1378335
14.14213562,0,1,2,-8.817368756,115.105584
14.14213562,20,1,1,-8.817099261,115.2022427
22.36067977,20,1,1,-8.781436144,115.1698136
14.14213562,40,1,1,-8.815212799,115.1811323
10,0,1,2,-8.823117973,115.1559795
14.14213562,22.36067977,1,1,-8.813775494,115.1838273
22.36067977,22.36067977,1,1,-8.819524712,115.1854442
20,0,1,2,-8.845396192,115.164783
40,50,1,1,-8.845575855,115.1765509
20,10,1,1,-8.827519718,115.1217537
10,10,1,1,-8.795449863,115.2090699
10,0,1,2,-8.808475434,115.2033207
10,0,1,2,-8.824016289,115.1194181
10,0,1,2,-8.812967011,115.121035
10,14.14213562,1,1,-8.814494147,115.0983975
20,14.14213562,1,1,-8.808295771,115.1277724
10,0,1,2,-8.822399321,115.087977
10,14.14213562,1,1,-8.813146674,115.1949664
10,14.14213562,1,1,-8.826621403,115.1434031
10,0,1,2,-8.839287648,115.1664
31.6227766,44.72135955,1,1,-8.829046854,115.2054767
10,20,1,1,-8.801917733,115.1536439
20,28.28427125,1,1,-8.837850344,115.1298385
20,20,1,1,-8.775058106,115.18769
10,14.14213562,1,1,-8.827968876,115.0860906
20,10,1,1,-8.814404315,115.1730475
40,22.36067977,1,1,-8.836862197,115.1274131
42.42640687,20,1,1,-8.82644174,115.1535541
20,0,1,2,-8.841174111,115.1457387
10,36.05551275,1,1,-8.816111114,115.1804137
40,10,1,1,-8.834436746,115.1539134
20,30,1,1,-8.820692522,115.1085485
36.05551275,10,1,1,-8.822399321,115.1319945
36.05551275,20,1,1,-8.82230949,115.2005359
10,0,1,2,-8.817997576,115.1188791
10,0,1,2,-8.842162257,115.1942477
50,0,1,2,-8.84234192,115.1796052
20,20,1,1,-8.826082414,115.2037699
22.36067977,20,1,1,-8.829585843,115.1080095
14.14213562,14.14213562,1,1,-8.802905879,115.1439421
20,286.5309756,1,1,-8.773441138,115.1910138
28.28427125,56.56854249,1,1,-8.820063701,115.2169751
10,10,1,1,-8.786556541,115.2293719
20,20,1,1,-8.780447997,115.1881392
10,10,1,1,-8.758439273,115.2178734
20,10,1,1,-8.821680669,115.1362166
14.14213562,0,1,2,-8.828687528,115.1462777
30,0,1,2,-8.837760512,115.1280419
14.14213562,50.99019514,1,1,-8.808565266,115.2201192
10,31.6227766,1,1,-8.817728082,115.2093394
31.6227766,22.36067977,1,1,-8.799222787,115.1458285
22.36067977,10,1,1,-8.801648238,115.1331623
10,0,1,2,-8.807307624,115.189846
10,10,1,1,-8.811260212,115.1932596
10,14.14213562,1,1,-8.814943304,115.2280244
14.14213562,20,1,1,-8.841533437,115.1839171
22.36067977,10,1,1,-8.847102991,115.1639745
50,36.05551275,1,1,-8.834526577,115.2008054
10,10,1,1,-8.83820967,115.1090874
10,0,1,2,-8.779280187,115.1853544
31.6227766,14.14213562,1,1,-8.83290961,115.174395
10,10,1,1,-8.790778623,115.1803238
20,10,1,1,-8.812428021,115.1503201
10,14.14213562,1,1,-8.806768635,115.2322465
10,0,1,2,-8.773710633,115.1726882
14.14213562,28.28427125,1,1,-8.837491018,115.1323538
28.28427125,10,1,1,-8.812517853,115.1034281
42.42640687,14.14213562,1,1,-8.790059971,115.140798
10,0,1,2,-8.787724351,115.1588541
10,0,1,2,-8.818356902,115.0969602
22.36067977,41.23105626,1,1,-8.783322606,115.146098
14.14213562,0,1,2,-8.797515988,115.1433133
31.6227766,0,1,2,-8.822399321,115.1001043
31.6227766,30,1,1,-8.821411174,115.1991885
28.28427125,10,1,1,-8.83524523,115.1917325
44.72135955,10,1,1,-8.816739935,115.1835578
63.2455532,210.2379604,1,1,-8.784400585,115.2202989
36.05551275,22.36067977,1,1,-8.817189092,115.1094468
10,0,1,2,-8.837580849,115.1460082
10,10,1,1,-8.837131692,115.1548117
10,0,1,2,-8.802995711,115.120496
10,0,1,2,-8.805510994,115.1713407
22.36067977,10,1,1,-8.81584162,115.1972122
20,31.6227766,1,1,-8.819255218,115.2077225
10,10,1,1,-8.806588972,115.2323363
22.36067977,0,1,2,-8.817728082,115.1739458
10,10,1,1,-8.824555278,115.1189689
20,10,1,1,-8.818536565,115.1925409
20,10,1,1,-8.82644174,115.1935291
10,14.14213562,1,1,-8.822489153,115.1875104
20,28.28427125,1,1,-8.796348178,115.207992
28.28427125,10,1,1,-8.845665687,115.1147468
20,14.14213562,1,1,-8.845216529,115.1453794
20,0,1,2,-8.837221523,115.1656813
10,10,1,1,-8.78943115,115.2030512
30,0,1,2,-8.821860332,115.1085485
10,0,1,2,-8.79059896,115.2243413
10,14.14213562,1,1,-8.825363762,115.205297
14.14213562,31.6227766,1,1,-8.840006301,115.1687356
10,14.14213562,1,1,-8.805061836,115.1702627
10,10,1,1,-8.813506,115.1256164
10,0,1,2,-8.846025013,115.1835578
413.4005322,152.6433752,1,1,-8.786736204,115.2160768
10,0,1,2,-8.77236316,115.2215565
44.72135955,44.72135955,1,1,-8.845575855,115.1341504
10,0,1,2,-8.846743665,115.1216639
10,22.36067977,1,1,-8.805960151,115.1894867
22.36067977,20,1,1,-8.836682534,115.1079196
22.36067977,10,1,1,-8.824016289,115.1178909
10,0,1,2,-8.79293458,115.1919121
10,10,1,1,-8.813595831,115.1065722
10,14.14213562,1,1,-8.783232775,115.1560693
50,0,1,2,-8.833718094,115.1280419
30,14.14213562,1,1,-8.83641304,115.1267843
30,31.6227766,1,1,-8.834526577,115.1079196
80.62257748,200.2498439,1,1,-8.774608948,115.191463
10,42.42640687,1,1,-8.830843485,115.1700831
22.36067977,10,1,1,-8.830933316,115.1076501
10,20,1,1,-8.809463581,115.1710712
20,0,1,2,-8.811978864,115.1236402
10,0,1,2,-8.82644174,115.1463675
10,0,1,2,-8.840904616,115.1431336
14.14213562,20,1,1,-8.826711234,115.105584
10,20,1,1,-8.834436746,115.1313657
22.36067977,31.6227766,1,1,-8.809733076,115.2141903
31.6227766,31.6227766,1,1,-8.809373749,115.1194181
10,0,1,2,-8.821411174,115.1750238
141.4213562,494.9747468,1,1,-8.781885302,115.215987
31.6227766,0,1,2,-8.835784219,115.0888754
22.36067977,10,1,1,-8.837221523,115.1330725
20,10,1,1,-8.839287648,115.1292995
10,10,1,1,-8.83290961,115.1558897
10,36.05551275,1,1,-8.821860332,115.1113332
30,28.28427125,1,1,-8.8317418,115.1784374
10,10,1,1,-8.835784219,115.1988291
22.36067977,22.36067977,1,1,-8.819345049,115.1439421
10,0,1,2,-8.802097396,115.1490625
14.14213562,22.36067977,1,1,-8.816829766,115.1880494
20,0,1,2,-8.816739935,115.1842764
20,22.36067977,1,1,-8.845665687,115.1633457
63.2455532,28.28427125,1,1,-8.838299502,115.0943551
42.42640687,50,1,1,-8.814943304,115.1368454
31.6227766,20,1,1,-8.818626397,115.1614592
10,22.36067977,1,1,-8.8217705,115.1140282
14.14213562,10,1,1,-8.836952029,115.1366657
20,28.28427125,1,1,-8.790149802,115.1354979
36.05551275,10,1,1,-8.813146674,115.1192384
10,10,1,1,-8.785568394,115.1751136
10,0,1,2,-8.782424291,115.1563388
10,0,1,2,-8.80173807,115.1944274
10,22.36067977,1,1,-8.823028142,115.1247181
30,30,1,1,-8.81117038,115.154093
31.6227766,0,1,2,-8.796976999,115.1664
14.14213562,10,1,1,-8.83820967,115.1540032
10,0,1,2,-8.825812919,115.1460082
31.6227766,20,1,1,-8.784310753,115.1473557
36.05551275,0,1,2,-8.841263942,115.107201
20,10,1,1,-8.842072426,115.1713407
14.14213562,10,1,1,-8.822758647,115.1764611
20,20,1,1,-8.811080549,115.1505896
10,14.14213562,1,1,-8.783412438,115.1472658
14.14213562,10,1,1,-8.834885904,115.1245385
22.36067977,10,1,1,-8.832460452,115.2061055
22.36067977,14.14213562,1,1,-8.79706683,115.1636152
41.23105626,191.0497317,1,1,-8.784220922,115.220209
30,10,1,1,-8.828957023,115.1008229
22.36067977,10,1,1,-8.822848479,115.1008229
28.28427125,22.36067977,1,1,-8.811799201,115.1985596
14.14213562,28.28427125,1,1,-8.812787348,115.1875104
14.14213562,0,1,2,-8.818895891,115.1889477
22.36067977,20,1,1,-8.827519718,115.2049377
31.6227766,0,1,2,-8.817099261,115.1149265
10,0,1,2,-8.807217793,115.1447506
10,0,1,2,-8.805510994,115.1625372
10,36.05551275,1,1,-8.824824772,115.2096988
20,0,1,2,-8.797336325,115.1794255
10,0,1,2,-8.78646671,115.1910138
20,14.14213562,1,1,-8.78763452,115.140259
36.05551275,22.36067977,1,1,-8.817907745,115.1870612
36.05551275,28.28427125,1,1,-8.824824772,115.0889652
22.36067977,14.14213562,1,1,-8.828507865,115.2026919
10,20,1,1,-8.78646671,115.1423251
22.36067977,20,1,1,-8.839557143,115.121035
10,0,1,2,-8.83937748,115.2003563
31.6227766,80.62257748,1,1,-8.777842883,115.1751136
20,10,1,1,-8.81584162,115.2105072
14.14213562,10,1,1,-8.813595831,115.1529252
28.28427125,72.80109889,1,1,-8.796976999,115.2086208
30,20,1,1,-8.818536565,115.0910313
58.30951895,10,1,1,-8.843869056,115.1701729
14.14213562,22.36067977,1,1,-8.823028142,115.1280419
10,22.36067977,1,1,-8.811978864,115.1462777
14.14213562,60,1,1,-8.818895891,115.2194904
10,0,1,2,-8.804433015,115.2076326
28.28427125,20,1,1,-8.811799201,115.1955952
30,20,1,1,-8.831921463,115.1852646
10,10,1,1,-8.837580849,115.1154655
84.85281374,30,1,1,-8.835694387,115.170622
10,0,1,2,-8.846923328,115.1220232
22.36067977,10,1,1,-8.832460452,115.2046682
20,10,1,1,-8.832550284,115.2096988
